 + TIC Scan DR_328.D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt)
33,37.525,37.57,37.704,105506,419581.69,2.86,2.6,0.46,0.178,0.058,40312,9448,37.513,37.532,37.672,37.716,4619,4619,1.35,110125,,,  ,57.1,,,,,,,,,,
34,37.755,37.837,37.996,2446423.37,7308459.19,49.8,60.21,8.07,0.242,0.042,18620,32082,37.672,37.716,38.162,38.225,8324.82,9891.11,0.86,2455284,,,  ,57.1,,,,,,,,,,
35,38.235,38.295,38.458,77783.71,373341.58,2.54,1.91,0.41,0.223,0.068,14454.32,12158.4,38.162,38.225,38.48,38.671,14454.32,12158.4,2.06,91616,,,  ,57.1,,,,,,,,,,
36,38.817,38.989,39.078,8214.77,75865.15,0.52,0.2,0.08,0.261,0.185,8906,6911,38.48,38.671,39.078,39.18,8906,6911,0.22,15807,,,  ,43.1,,,,,,,,,,
37,39.186,39.237,39.402,74995.76,300875.78,2.05,1.85,0.33,0.216,0.056,8026.89,7768,39.078,39.18,39.447,39.549,8026.89,7454.55,2.52,82889,,,  ,57.1,,,,,,,,,,
38,39.542,39.593,39.638,4470.43,15219.46,0.1,0.11,0.02,0.095,0.053,5866,7450,39.447,39.549,39.606,39.644,5651.16,6197.62,1.11,10413,,,  ,69,,,,,,,,,,
39,39.638,39.657,39.714,4082.24,12116.59,0.08,0.1,0.01,0.076,0.062,7450,7032,39.606,39.644,39.714,39.86,6117.85,6965.66,2.52,10412,,,  ,57,,,,,,,,,,
40,39.918,39.981,40.032,19157.26,60949.54,0.42,0.47,0.07,0.115,0.051,10819,13083,39.714,39.86,40.019,40.045,9226.32,10497.95,1.4,29090,,,  ,55.1,,,,,,,,,,
41,40.032,40.083,40.134,38881.83,140046.18,0.95,0.96,0.15,0.102,0.085,13083,31126,40.019,40.045,40.115,40.147,10497.95,11628.19,1.53,49945,,,  ,55.1,,,,,,,,,,
42,40.134,40.306,40.484,655181.27,4006885.37,27.3,16.13,4.42,0.35,0.092,31126,25010,40.115,40.147,40.465,40.503,11628.19,15513.78,0.64,668717,,,  ,57.1,,,,,,,,,,
43,40.509,40.605,40.757,3034558.54,9862140.17,67.2,74.69,10.88,0.248,0.046,31381,47604,40.465,40.503,40.885,40.948,17902.75,20842.99,0.79,3053592,,,  ,57.1,,,,,,,,,,
44,40.951,40.999,41.228,53816.58,256038.53,1.74,1.32,0.28,0.277,0.063,25692.82,13554,40.885,40.948,41.139,41.26,25692.82,9152.15,1.82,76622,,,  ,57.1,,,,,,,,,,
45,41.261,41.394,41.483,17955.93,89916.72,0.61,0.44,0.1,0.221,0.062,16545.94,18221,41.139,41.26,41.438,41.508,16545.94,16069.15,0.9,34217,,,  ,57.1,,,,,,,,,,
46,41.483,41.591,41.801,52240.14,469737.34,3.2,1.29,0.52,0.318,0.156,18221,14855,41.438,41.508,41.794,41.858,15968.73,14504.34,2.05,67711,,,  ,57.1,,,,,,,,,,
47,41.849,41.903,42.048,34609.52,139139.35,0.95,0.85,0.15,0.2,0.058,13927.48,12096.11,41.794,41.858,42.132,42.259,13927.48,12096.11,2.04,48045,,,  ,57.1,,,,,,,,,,
48,42.249,42.291,42.322,2830.36,5762.77,0.04,0.07,0.01,0.074,0.168,9372.23,9749,42.132,42.259,42.297,42.399,9372.23,9325.47,0.29,12176,,,  ,207,,,,,,,,,,
49,42.476,42.539,42.564,163100.11,466008.61,3.18,4.01,0.51,0.089,0.055,28918.94,145174,42.291,42.399,42.558,42.571,28918.94,29188.18,0.68,192211,,,  ,55.1,,,,,,,,,,
50,42.564,42.634,42.698,875644.26,3289419.82,22.41,21.55,3.63,0.134,0.053,145174,175643,42.558,42.571,42.691,42.704,29188.18,29593.95,0.92,905045,,,  ,55.1,,,,,,,,,,
51,42.774,42.87,42.908,4063029.36,14187601.16,96.67,100,15.66,0.134,0.053,200039,985655,42.691,42.704,42.908,42.914,29825.79,30231.56,0.67,4093145,,,  ,57.1,,,,,,,,,,
52,42.908,42.952,43.073,2393241.13,8237202.56,56.12,58.9,9.09,0.165,0.049,985655,116390,42.908,42.914,43.092,43.111,30231.56,30733.97,1.33,2423608,,,  ,57.1,,,,,,,,,,
53,43.099,43.175,43.334,1140569.85,4244461.84,28.92,28.07,4.68,0.235,0.048,97674,63587,43.092,43.111,43.455,43.499,30811.26,31526.22,1.41,1171613,,,  ,57.1,,,,,,,,,,
54,43.48,43.538,43.652,37527.45,186542.13,1.27,0.92,0.21,0.172,0.081,42514,32492.25,43.455,43.499,43.639,43.735,31970.62,32492.25,1.07,69672,,,  ,57.1,,,,,,,,,,
55,43.735,43.856,43.964,63962.29,383884.57,2.62,1.57,0.42,0.229,0.096,34614.43,40962,43.639,43.735,43.951,44.008,34614.43,40675.54,0.93,101773,,,  ,55.1,,,,,,,,,,
56,43.989,44.097,44.263,61660.08,413377.43,2.82,1.52,0.46,0.274,0.096,40629,32291,43.951,44.008,44.581,44.867,38550.89,31440.95,1.12,97400,,,  ,57.1,,,,,,,,,,
57,44.944,45.052,45.185,1811671.75,8623598.57,58.76,44.59,9.52,0.242,0.055,89606,254617,44.581,44.867,45.179,45.198,18427.25,18427.25,2.24,1830099,,,  ,55.1,,,,,,,,,,
58,45.185,45.325,45.522,2783124.22,14676760.64,100,68.5,16.2,0.337,0.058,254617,131478,45.179,45.198,45.535,45.58,34049.45,48202.54,0.93,2823048,,,  ,57.1,,,,,,,,,,
59,45.554,45.599,45.764,64292.73,428523.42,2.92,1.58,0.47,0.21,0.124,116825,59939,45.535,45.58,45.841,45.936,70147.38,59115.08,1.79,132100,,,  ,57.1,,,,,,,,,,
60,45.917,45.961,46.042,8008.82,34826.87,0.24,0.2,0.04,0.125,0.131,50901,44566.66,45.841,45.936,46.07,46.171,50061.28,44566.66,0.5,56119,,,  ,57.1,,,,,,,,,,
61,46.381,46.528,46.776,33268.72,386338.98,2.63,0.82,0.43,0.394,0.179,57152,46889,46.07,46.171,46.986,47.278,56716.81,46002.46,0.5,86011,,,  ,257.2,,,,,,,,,,
62,47.304,47.399,47.546,107073.19,810594.79,5.52,2.64,0.89,0.242,0.114,39176,68291,46.986,47.278,47.533,47.59,38419.02,38370.34,2.89,145473,,,  ,55.1,,,,,,,,,,
63,47.546,47.622,47.921,42430.03,485055.18,3.3,1.04,0.54,0.375,0.204,68291,38882,47.533,47.59,49.053,49.766,38370.34,38294.77,2.69,80785,,,  ,57.1,,,,,,,,,,
64,49.683,49.81,49.938,7708.47,64902.85,0.44,0.19,0.07,0.254,0.828,27182,28061,49.053,49.766,50.727,50.898,27182,28061,0.17,35330,,,  ,207,,,,,,,,,,
65,51.14,51.248,51.433,5999.97,56227.78,0.38,0.15,0.06,0.293,0.697,25409,25106,50.727,50.898,51.318,51.802,25409,25106,0.35,31297,,,  ,207,,,,,,,,,,
66,51.797,52.005,52.222,6689.09,91709.6,0.62,0.16,0.1,0.425,0.396,27331.29,28127,51.318,51.802,52.4,53.017,27331.29,27499.71,1.22,34103,,,  ,207,,,,,,,,,,
67,53.144,53.411,53.749,9458.75,187181.15,1.28,0.23,0.21,0.604,0.441,27712,29895,52.4,53.017,53.71,54.028,27577.24,29309.88,1.5,37802,,,  ,207,,,,,,,,,,
68,54.607,54.665,54.798,9553.96,55673.55,0.38,0.24,0.06,0.191,0.131,34062,35786,53.71,54.028,54.747,54.964,33374.74,35435.5,3.42,43547,,,  ,207,,,,,,,,,,
69,54.933,55.199,55.727,28921.61,590134.59,4.02,0.71,0.65,0.794,0.292,34792.06,35253,54.747,54.964,56.802,57.502,34792.06,34548.49,2.02,63632,,,  ,207,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 + TIC Scan DR_337.D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt)
1,4.093,4.119,4.182,16983.32,40510.55,0.19,0.29,0.03,0.089,0.034,32331,27236,4.093,4.1,4.99,5.213,29794.06,26992.97,1.61,45977,,,  ,281,,,,,,,,,,
2,5.175,5.219,5.455,3091.32,28844.12,0.14,0.05,0.02,0.28,0.333,8775,7629,4.99,5.213,5.665,6.084,8775,7629,0.89,11684,,,  ,43,,,,,,,,,,
3,6.059,6.104,6.135,1930.91,5047.64,0.02,0.03,0,0.076,0.455,7699,7559,5.665,6.084,6.212,6.485,7405.59,7559,0.07,9426,,,  ,57,,,,,,,,,,
4,6.47,6.511,6.581,2570.59,9252.75,0.04,0.04,0.01,0.11,0.055,7066.15,7103,6.212,6.485,6.6,6.867,7066.15,6891.75,1.76,9573,,,  ,41,,,,,,,,,,
5,7.395,7.446,7.635,14066.86,68472.08,0.33,0.24,0.05,0.24,0.054,5771.81,5523.81,7.007,7.401,10.557,11.702,5771.81,5523.81,4.23,19786,,,  ,73,,,,,,,,,,
6,11.686,11.747,11.829,20423.54,54930.34,0.26,0.34,0.04,0.144,0.041,3483.15,3511,10.557,11.702,12.51,13.089,3483.15,3483.88,1.49,23907,,,  ,73.1,,,,,,,,,,
7,13.07,13.089,13.655,1454.04,25448.19,0.12,0.02,0.02,0.585,1.111,2325,2293,12.51,13.083,14.718,15.939,2325,2293,0.97,3778,,,  ,57.1,,,,,,,,,,
8,15.939,15.965,16.073,3504.14,9680.8,0.05,0.06,0.01,0.134,0.035,2692,2714,14.718,15.939,15.996,16.162,2550.06,2543.78,4.59,6053,,,  ,73,,,,,,,,,,
9,16.073,16.162,16.302,2151.42,13628.11,0.07,0.04,0.01,0.229,0.127,2714,2601,15.996,16.155,19.018,19.89,2543.78,2533,1.57,4691,,,  ,73.1,,,,,,,,,,
10,19.886,19.934,20.144,3837.37,29269.85,0.14,0.06,0.02,0.259,0.106,1975.09,1963,19.018,19.89,20.176,20.851,1975.09,1898.27,4.12,5798,,,  ,73.1,,,,,,,,,,
11,23.23,23.287,23.344,3617,13488.8,0.06,0.06,0.01,0.115,0.061,1612,1554,23.014,23.236,23.344,23.529,1612,1554,1.07,5200,,,  ,73.1,,,,,,,,,,
12,23.504,23.561,23.745,1596.1,11931.44,0.06,0.03,0.01,0.242,0.143,1436,1634,23.344,23.529,23.739,24.165,1436,1634,3.62,3079,,,  ,41.1,,,,,,,,,,
13,24.159,24.305,24.96,5188.97,122643.21,0.59,0.09,0.09,0.802,0.413,1480,1639,23.739,24.165,25.902,26.239,1480,1639,5.15,6698,,,  ,57,,,,,,,,,,
14,26.238,26.271,26.336,2565.95,6432.43,0.03,0.04,0,0.099,0.03,1618.35,1611.56,25.902,26.239,26.615,27.206,1618.35,1611.56,1.45,4182,,,  ,73,,,,,,,,,,
15,27.206,27.213,27.308,1280.05,3863.47,0.02,0.02,0,0.102,0.537,1337,1528,26.615,27.206,27.435,27.836,1337,1528,0.27,2629,,,  ,41,,,,,,,,,,
16,28.245,28.383,28.669,8603.91,99734.82,0.48,0.15,0.08,0.424,0.182,2766.78,3060,28.065,28.218,28.898,29.013,2766.78,2940.07,2.38,11427,,,  ,57.1,,,,,,,,,,
17,29.003,29.038,29.082,3272.06,6458.05,0.03,0.06,0,0.079,0.028,1930.86,1796.49,28.898,29.013,29.299,29.433,1930.86,1796.49,1.61,5143,,,  ,73.1,,,,,,,,,,
18,29.617,29.662,29.755,1255.19,4164.21,0.02,0.02,0,0.137,0.149,1759,1669.78,29.299,29.433,29.738,29.993,1656.51,1669.78,0.83,2916,,,  ,44,,,,,,,,,,
19,29.999,30.063,30.432,33792.32,225903.7,1.09,0.57,0.17,0.433,0.081,1863,1867,29.738,29.993,30.4,30.444,1656.68,1656.68,5.26,35449,,,  ,57.1,,,,,,,,,,
20,30.438,30.495,30.597,6045.88,22661.55,0.11,0.1,0.02,0.159,0.063,2084.86,2239,30.4,30.444,30.68,30.953,2084.86,2068.88,1.56,8125,,,  ,43.1,,,,,,,,,,
21,30.96,31.023,31.163,361359.05,2448081.7,11.76,6.1,1.89,0.203,0.107,2760.99,158669,30.68,30.953,31.151,31.17,2760.99,19062.98,3.33,369193,,,  ,55.1,,,,,,,,,,
22,31.163,31.202,31.284,181185.25,835894.09,4.01,3.06,0.65,0.121,0.09,158669,102727,31.151,31.17,31.272,31.303,51962.71,49337.2,2,232319,,,  ,55.1,,,,,,,,,,
23,31.284,31.316,31.488,70675.47,357983.69,1.72,1.19,0.28,0.204,0.086,102727,45337,31.272,31.303,31.488,31.564,49337.2,44915.5,2.29,119322,,,  ,55.1,,,,,,,,,,
24,31.618,31.672,31.87,688327.78,2148509.6,10.32,11.61,1.66,0.251,0.045,41415.32,30417,31.59,31.615,32.658,32.811,41415.32,29560.9,1.55,727201,,,  ,57.1,,,,,,,,,,
25,32.824,32.875,33.017,14511.7,68646.16,0.33,0.24,0.05,0.193,0.067,8395,8793.46,32.658,32.811,33.015,33.066,8070.44,8793.46,2.87,22773,,,  ,57,,,,,,,,,,
26,33.062,33.097,33.156,4218.19,12973.47,0.06,0.07,0.01,0.094,0.056,8602.93,8759.69,33.015,33.066,33.161,33.193,8602.93,8759.69,1.66,12880,,,  ,55.1,,,,,,,,,,
27,33.256,33.32,33.398,46701.72,149950.75,0.72,0.79,0.12,0.142,0.048,9294,9101.17,33.161,33.193,33.435,33.466,9005.09,9101.17,1.17,55750,,,  ,57.1,,,,,,,,,,
28,33.473,33.524,33.867,89232.38,544054.78,2.61,1.51,0.42,0.394,0.086,8895.88,8503,33.435,33.466,33.842,33.918,8895.88,8358.08,3.54,98059,,,  ,57.1,,,,,,,,,,
29,33.867,33.937,33.969,3777.31,12514.13,0.06,0.06,0.01,0.102,0.053,8503,7210,33.842,33.918,33.982,34.071,7374.26,7111.6,0.32,10971,,,  ,73,,,,,,,,,,
30,34.363,34.446,34.522,168387.36,616238.7,2.96,2.84,0.48,0.159,0.052,15796,27069,34.141,34.281,34.516,34.529,6464.54,8283.73,1.7,175798,,,  ,57.1,,,,,,,,,,
31,34.522,34.567,34.673,73706.64,258999.3,1.24,1.24,0.2,0.15,0.052,27069,10032.76,34.516,34.529,34.682,34.758,14476.34,10032.76,1.11,86867,,,  ,55.1,,,,,,,,,,
32,34.797,34.872,35.031,1853618.73,5661205.73,27.19,31.26,4.37,0.235,0.044,13815.58,31018,34.682,34.758,35.273,35.35,13815.58,15404.33,1.01,1867947,,,  ,57.1,,,,,,,,,,
33,35.352,35.407,35.522,26522.64,112160.25,0.54,0.45,0.09,0.17,0.064,9140.41,8707,35.273,35.35,35.521,35.553,9140.41,8707,1.88,35523,,,  ,57.1,,,,,,,,,,
34,35.55,35.585,35.674,4750.26,21413.77,0.1,0.08,0.02,0.124,0.069,8633.97,8512,35.521,35.553,35.725,35.839,8633.97,8318.43,2.56,13296,,,  ,149,,,,,,,,,,
35,35.94,36.005,36.088,13306.28,64012.31,0.31,0.22,0.05,0.148,0.078,7615.49,10051,35.725,35.839,36.062,36.119,7615.49,7786.65,2,20997,,,  ,57.1,,,,,,,,,,
36,36.088,36.145,36.183,6335.95,22870.25,0.11,0.11,0.02,0.095,0.103,10051,7961,36.062,36.119,36.183,36.221,7786.65,7897.34,0.44,14189,,,  ,43.1,,,,,,,,,,
37,36.208,36.266,36.317,6981.74,27415.61,0.13,0.12,0.02,0.108,0.074,7926.58,10386,36.183,36.221,36.304,36.323,7926.58,8052.3,1.18,14975,,,  ,57,,,,,,,,,,
38,36.317,36.38,36.537,149187.91,545861.46,2.62,2.52,0.42,0.221,0.053,10386,8308.43,36.304,36.323,36.526,36.577,8052.3,8308.43,1.6,157314,,,  ,57.1,,,,,,,,,,
39,36.575,36.641,36.817,75669.37,374063.47,1.8,1.28,0.29,0.242,0.074,7997.25,8567.87,36.526,36.577,36.781,36.845,7997.25,8567.87,2.13,83823,,,  ,57.1,,,,,,,,,,
40,36.82,36.876,36.94,5101.94,19167.69,0.09,0.09,0.01,0.12,0.067,8225.91,8438.2,36.781,36.845,36.953,37.01,8225.91,8438.2,1.11,13428,,,  ,57.1,,,,,,,,,,
41,37.11,37.131,37.16,3615.4,4759.08,0.02,0.06,0,0.051,0.023,9562.3,9933.99,37.048,37.099,37.169,37.214,9562.3,9933.99,1.54,13333,,,  ,55.1,,,,,,,,,,
42,37.228,37.252,37.296,3453.6,7421.19,0.04,0.06,0.01,0.068,0.038,10429.57,11191,37.169,37.214,37.277,37.322,10429.57,10932.51,2.6,14059,,,  ,55,,,,,,,,,,
43,37.347,37.449,37.519,236949.95,945084.15,4.54,4,0.73,0.172,0.052,16253,71419,37.277,37.322,37.513,37.525,12667.67,14941.32,1.19,250965,,,  ,57.1,,,,,,,,,,
44,37.519,37.57,37.665,193834.22,688960.49,3.31,3.27,0.53,0.146,0.053,71419,16873.42,37.513,37.525,37.678,37.71,14941.32,16873.42,0.94,209449,,,  ,57.1,,,,,,,,,,
45,37.742,37.875,37.996,5928758.15,20819611.38,100,100,16.07,0.254,0.053,26535,60166,37.678,37.71,38.168,38.232,16797.19,19386.92,0.34,5946915,,,  ,57.1,,,,,,,,,,
46,38.233,38.295,38.461,86375.48,428021.3,2.06,1.46,0.33,0.228,0.067,23501.29,16693,38.168,38.232,38.569,38.626,23501.29,16236.41,1.94,107882,,,  ,57.1,,,,,,,,,,
47,38.613,38.658,38.715,4443.58,15671.3,0.08,0.07,0.01,0.102,0.134,11576,13456,38.569,38.626,38.747,38.823,11576,13456,4.04,16842,,,  ,57.1,,,,,,,,,,
48,38.817,38.893,39.069,11605.37,104828.4,0.5,0.2,0.08,0.252,0.172,12755,10433.72,38.747,38.823,39.084,39.167,12280.35,10433.72,2.01,23326,,,  ,57.1,,,,,,,,,,
49,39.167,39.237,39.428,171749.87,660047.9,3.17,2.9,0.51,0.261,0.052,8626,11974,39.084,39.167,39.485,39.542,8091.6,9860.62,2.05,180316,,,  ,57.1,,,,,,,,,,
50,39.641,39.676,39.699,3616.64,6976.18,0.03,0.06,0.01,0.058,0.033,12335.42,12237.38,39.606,39.644,39.777,39.847,12335.42,12237.38,0.7,15893,,,  ,57.1,,,,,,,,,,
51,39.842,39.892,39.911,14047.5,35427.62,0.17,0.24,0.03,0.069,0.065,10364.5,19432,39.777,39.847,39.898,39.93,10364.5,10364.5,0.89,24412,,,  ,43.1,,,,,,,,,,
52,39.911,39.975,40.032,61715.5,228387.51,1.1,1.04,0.18,0.121,0.054,19432,26787,39.898,39.93,40.019,40.038,10364.5,10364.5,0.83,72080,,,  ,55.1,,,,,,,,,,
53,40.032,40.083,40.134,70242.5,278663.2,1.34,1.18,0.22,0.102,0.083,26787,48911,40.019,40.038,40.121,40.14,10364.5,10364.5,0.9,80607,,,  ,55.1,,,,,,,,,,
54,40.134,40.248,40.274,493094.5,2218040.19,10.65,8.32,1.71,0.14,0.077,48911,463136,40.121,40.14,40.267,40.274,10364.5,10364.5,0.26,503459,,,  ,57.1,,,,,,,,,,
55,40.274,40.306,40.484,873587.5,3434590.26,16.5,14.73,2.65,0.21,0.068,463136,32218,40.267,40.274,40.471,40.49,10364.5,10364.5,2.19,883952,,,  ,57.1,,,,,,,,,,
56,40.509,40.624,40.744,4988621.2,16964053.9,81.48,84.14,13.09,0.235,0.05,41673,77317,40.471,40.49,40.897,40.948,23491.03,27908.05,0.51,5014261,,,  ,57.1,,,,,,,,,,
57,40.952,41.005,41.096,59732.46,243656.79,1.17,1.01,0.19,0.145,0.064,34482.82,31261.17,40.897,40.948,41.158,41.247,34482.82,31261.17,1.53,93022,,,  ,57.1,,,,,,,,,,
58,41.317,41.381,41.446,18034.07,59675.83,0.29,0.3,0.05,0.128,0.05,28045.83,25984.35,41.158,41.247,41.451,41.489,28045.83,25984.35,0.86,45064,,,  ,57.1,,,,,,,,,,
59,41.494,41.591,41.777,47694.03,394664.7,1.9,0.8,0.3,0.284,0.139,25218.07,20663.2,41.451,41.489,41.794,41.851,25218.07,20663.2,1.89,71353,,,  ,57.1,,,,,,,,,,
60,41.856,41.909,42.029,59234.89,224528.84,1.08,1,0.17,0.174,0.057,19745.95,17682.37,41.794,41.851,42.144,42.252,19745.95,17682.37,1.38,78350,,,  ,57.1,,,,,,,,,,
61,42.411,42.539,42.564,233392.5,876940.06,4.21,3.94,0.68,0.153,0.063,17332,194581,42.316,42.386,42.564,42.57,13059.5,13059.5,0.36,246452,,,  ,55.1,,,,,,,,,,
62,42.564,42.628,42.691,920937.5,3670758.72,17.63,15.53,2.83,0.127,0.058,194581,204316,42.564,42.57,42.685,42.698,13059.5,13059.5,1.1,933997,,,  ,55.1,,,,,,,,,,
63,42.691,42.723,42.768,262701.5,1082852.63,5.2,4.43,0.84,0.076,0.095,204316,238144,42.685,42.698,42.755,42.78,13059.5,13059.5,1.5,275761,,,  ,55.1,,,,,,,,,,
64,42.768,42.869,42.908,4430491,15214329.33,73.08,74.73,11.74,0.14,0.051,238144,1006014,42.755,42.78,42.908,42.914,36381.66,44862.63,0.67,4473041,,,  ,57.1,,,,,,,,,,
65,42.908,42.952,43.067,2318021,7222682.54,34.69,39.1,5.57,0.16,0.047,1006014,123947.05,42.908,42.914,43.092,43.105,152702,123947.05,1.03,2462714,,,  ,57.1,,,,,,,,,,
66,43.113,43.181,43.337,1975434,6161183.94,29.59,33.32,4.75,0.225,0.044,115806.44,75380.78,43.092,43.105,43.442,43.493,115806.44,75380.78,1.05,2078937,,,  ,57.1,,,,,,,,,,
67,43.48,43.531,43.63,31241.73,138855.49,0.67,0.53,0.11,0.15,0.062,54412,39859.04,43.442,43.493,43.626,43.728,53856.98,39859.04,0.73,80351,,,  ,57.1,,,,,,,,,,
68,43.728,43.855,43.97,70660.65,503086.34,2.42,1.19,0.39,0.242,0.122,39956,45273,43.626,43.728,43.945,44.002,39283.09,36828.71,1.31,108652,,,  ,55.1,,,,,,,,,,
69,43.97,44.097,44.259,71082.03,507625.59,2.44,1.2,0.39,0.289,0.096,45273,33898.82,43.945,44.002,44.307,44.371,36828.71,33898.82,0.79,106619,,,  ,57.1,,,,,,,,,,
70,44.363,44.403,44.479,13149.2,42313.36,0.2,0.22,0.03,0.116,0.049,28578.89,25623,44.307,44.371,44.523,44.74,28578.89,25406.86,1.43,40650,,,  ,57.1,,,,,,,,,,
71,44.924,45.052,45.115,1924479.12,7723558.34,37.1,32.46,5.96,0.191,0.054,56810,378268,44.753,44.861,45.109,45.122,20624.04,20635.81,0.84,1945111,,,  ,55.1,,,,,,,,,,
72,45.115,45.141,45.192,412610.62,1596027,7.67,6.96,1.23,0.076,0.089,378268,274630,45.109,45.122,45.185,45.198,20635.81,20640.51,1.8,433248,,,  ,55.1,,,,,,,,,,
73,45.192,45.331,45.491,4135106.4,17774785.93,85.38,69.75,13.72,0.299,0.049,274630,163443,45.185,45.198,45.535,45.554,35112.27,47609.88,0.73,4176069,,,  ,57.1,,,,,,,,,,
74,45.548,45.599,45.742,117112.09,557702.6,2.68,1.98,0.43,0.195,0.067,119273,69877.71,45.535,45.554,45.84,45.917,91859.91,69877.71,1.3,203220,,,  ,57.1,,,,,,,,,,
75,45.898,45.955,46.036,13627.41,57030.84,0.27,0.23,0.04,0.138,0.069,56215.41,48744.7,45.84,45.917,46.057,46.133,56215.41,48744.7,0.39,66761,,,  ,57.1,,,,,,,,,,
76,46.148,46.235,46.368,22798.47,130987.09,0.63,0.38,0.1,0.22,0.079,48856.39,51386,46.057,46.133,46.311,46.394,48856.39,48617.94,2.02,71561,,,  ,55,,,,,,,,,,
77,46.368,46.559,46.904,39523.28,614727.79,2.95,0.67,0.47,0.536,0.26,51386,48282.43,46.311,46.394,46.954,47.056,48537.61,48282.43,1.46,87970,,,  ,257.2,,,,,,,,,,
78,47.049,47.081,47.132,7641.88,21956.94,0.11,0.13,0.02,0.083,0.049,43140,42116,46.954,47.056,47.119,47.259,43140,42116,1.54,50388,,,  ,207,,,,,,,,,,
79,47.273,47.355,47.539,145069.07,933032.28,4.48,2.45,0.72,0.266,0.082,47500.69,72291,47.119,47.259,47.488,47.545,47500.69,47131.44,3.3,192457,,,  ,55.1,,,,,,,,,,
80,47.539,47.647,47.87,56733.91,542853.66,2.61,0.96,0.42,0.331,0.174,72291,47444,47.488,47.545,48.016,48.271,47131.44,46671.54,0.9,103715,,,  ,57.1,,,,,,,,,,
81,49.098,49.168,49.266,11292.89,48666.73,0.23,0.19,0.04,0.168,0.064,33160,33442.75,48.85,49.104,49.435,49.689,32641.4,33442.75,1.49,44268,,,  ,207.1,,,,,,,,,,
82,49.696,49.753,49.886,7693.7,48610.73,0.23,0.13,0.04,0.19,0.127,32716,31485.53,49.435,49.689,50.491,51.146,32043.19,31485.53,1.9,39569,,,  ,207,,,,,,,,,,
83,51.089,51.216,51.401,6038.17,57381.21,0.28,0.1,0.04,0.312,0.805,27695,27060,50.491,51.146,51.598,51.789,27695,27060,0.27,33474,,,  ,207.1,,,,,,,,,,
84,53.087,53.418,53.965,16466.95,395440.29,1.9,0.28,0.31,0.877,0.454,28736.37,33726,52.514,53.017,54.003,54.512,28736.37,33260.8,2.35,46906,,,  ,207,,,,,,,,,,
85,54.512,54.614,54.811,19472.5,161394.92,0.78,0.33,0.12,0.299,0.132,34265,35627,54.003,54.512,54.804,54.983,33897.04,34985.37,2.11,53740,,,  ,207,,,,,,,,,,
86,54.971,55.339,55.689,16811.98,396662.35,1.91,0.28,0.31,0.718,0.401,34989.84,37289,54.804,54.983,55.841,56.376,34989.84,37224.83,1.12,52947,,,  ,207,,,,,,,,,,
87,57.102,57.597,57.865,10499.85,231082.62,1.11,0.18,0.18,0.763,0.449,34344.72,35028,56.923,57.101,57.928,57.992,34344.72,34913.41,0.67,45214,,,  ,207,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 + TIC Scan DR_338.D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt)
1,4.093,4.119,4.507,52581.42,378540.43,1.68,0.83,0.3,0.414,0.058,38033,19837,4.093,4.1,5.525,6.065,16192.99,13747.52,12.08,68624,,,  ,281,,,,,,,,,,
2,6.46,6.504,6.6,3484.09,16629.48,0.07,0.06,0.01,0.14,0.083,7711,7778,6.174,6.466,6.924,7.401,7627.59,7553.15,2.14,11088,,,  ,41.1,,,,,,,,,,
3,7.389,7.44,7.65,21114.61,106854.84,0.47,0.33,0.09,0.261,0.052,7046,6574,6.924,7.401,9.164,10.557,6725.06,6383.33,4.67,27773,,,  ,73.1,,,,,,,,,,
4,11.696,11.747,11.829,22797.76,66050.4,0.29,0.36,0.05,0.134,0.042,4778,4789,9.164,10.557,15.208,15.939,4526.06,4789,1.56,27424,,,  ,341,,,,,,,,,,
5,15.94,15.971,15.996,2098.11,3484.6,0.02,0.03,0,0.056,0.026,3633.84,3900,15.208,15.939,15.99,16.098,3633.84,3787.9,0.91,5816,,,  ,73,,,,,,,,,,
