 + TIC Scan DR_328.D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt)
30,37.544,37.589,37.675,72775.66,254902.68,0.95,1.06,0.17,0.131,0.053,41778,13875.95,37.538,37.551,37.704,37.735,27437.11,13875.95,0.96,95587,,,  ,43.1,,,,,,,,,,
31,37.774,37.863,37.983,3282905.49,10078509.97,37.55,47.72,6.78,0.21,0.044,20801,63647,37.704,37.735,38.181,38.238,10544.29,12692.25,0.77,3294361,,,  ,57.1,,,,,,,,,,
32,38.238,38.314,38.518,112650.73,613776.02,2.29,1.64,0.41,0.28,0.077,16676.38,13625.49,38.181,38.238,38.607,38.658,16676.38,13625.49,2.76,128493,,,  ,57.1,,,,,,,,,,
33,38.836,39.027,39.121,11838.84,107721.74,0.4,0.17,0.07,0.285,0.176,10377,7419.54,38.791,38.849,39.141,39.205,10077.76,7419.54,0.3,20135,,,  ,43.1,,,,,,,,,,
34,39.192,39.269,39.503,96287.22,467374.99,1.74,1.4,0.31,0.311,0.065,6963,6329.46,39.141,39.205,39.504,39.657,6940.81,6329.46,2.18,103078,,,  ,57.1,,,,,,,,,,
35,39.67,39.708,39.79,4913.26,16204.22,0.06,0.07,0.01,0.12,0.077,7359.56,7509,39.504,39.657,39.797,39.879,7359.56,7260.21,2.28,12242,,,  ,57.1,,,,,,,,,,
36,39.88,39.994,40.051,24124.84,109152.58,0.41,0.35,0.07,0.171,0.058,7622.74,15599,39.797,39.879,40.038,40.064,7622.74,8193.32,0.68,32127,,,  ,55.1,,,,,,,,,,
37,40.051,40.115,40.147,37237.31,152902.56,0.57,0.54,0.1,0.095,0.074,15599,40687,40.038,40.064,40.127,40.153,8193.32,8511.84,0.5,45643,,,  ,55.1,,,,,,,,,,
38,40.147,40.331,40.49,1143772.26,6788877.42,25.29,16.63,4.56,0.344,0.061,40687,41015,40.127,40.153,40.496,40.522,8511.84,9658.68,0.57,1152900,,,  ,57.1,,,,,,,,,,
39,40.535,40.636,40.795,4470127.97,15553521.01,57.94,64.98,10.46,0.261,0.05,47162,61675,40.496,40.522,40.929,40.967,20848.47,26177.09,0.66,4493056,,,  ,57.1,,,,,,,,,,
