Peak,Compound,mean_RT,328,331,332,333,334,337,338,339,341,345
P62,C25_ene_NA,34.446,34.484,34.452,34.44,34.446,34.44,34.446,34.433,34.44,34.44,34.44
P63,C25_ene_NA,34.569,34.605,34.573,34.567,34.567,34.561,34.567,34.567,34.554,34.561,34.567
P64,C25_ane_NA,34.899,34.892,34.879,34.892,34.879,34.904,34.872,34.885,34.93,34.923,34.93
P65,C25_Me_13-;11-,35.412,35.445,35.426,35.407,35.42,35.407,35.407,35.407,35.394,35.407,35.401
P66,,35.648,NA,35.661,35.655,35.674,35.655,35.585,35.661,35.636,35.661,35.642
P67,,35.833,NA,NA,NA,NA,NA,NA,NA,35.833,NA,35.833
P68,C26_ene_NA,35.991,NA,35.998,35.998,35.998,35.967,36.005,35.992,35.98,36.005,35.973
P69,C26_ene_NA,36.122,36.164,NA,36.119,36.126,36.107,36.145,36.107,36.094,36.126,36.107
P70,,36.255,NA,36.253,36.259,36.285,36.247,36.266,36.272,36.228,NA,36.228
P71,C26_ane_NA,36.382,36.412,36.387,36.38,36.38,36.38,36.38,36.374,36.374,36.38,36.374
P72,,36.636,36.705,36.628,36.628,36.647,36.603,36.641,36.647,36.597,36.648,36.616
P73,,36.876,36.921,36.876,36.876,36.876,36.864,36.876,36.876,36.857,36.87,36.87
P74,,37.035,NA,NA,37.035,NA,NA,NA,NA,37.029,37.048,37.029
P75,C27_diene_NA,37.132,NA,37.137,37.131,37.137,37.125,37.131,37.137,37.125,37.144,37.125
P76,C27_diene_NA,37.252,NA,37.258,37.252,37.252,37.252,37.252,NA,37.246,NA,NA
P77,C27_ene_NA,37.453,37.474,37.462,37.449,37.449,37.449,37.449,37.443,37.449,37.456,37.455
P78,C27_ene_NA,37.571,37.589,37.576,37.57,37.57,37.57,37.57,37.564,37.564,37.57,37.57
P79,C27_ane_NA,37.889,37.863,37.856,37.894,37.875,37.882,37.875,37.875,37.926,37.914,37.926
P80,C27_Me_13-;11-,38.302,38.314,38.308,38.302,38.302,38.295,38.295,38.302,38.295,38.302,38.302
P81,,38.549,NA,NA,38.562,NA,NA,NA,NA,38.537,NA,NA
P82,,38.66,NA,38.69,38.651,NA,NA,38.658,NA,38.645,38.658,38.658
P83,,38.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.741
P84,C28_ene_NA,38.895,NA,NA,38.9,38.906,38.906,38.893,38.887,38.881,38.9,38.887
P85,C28_ene_NA,39.006,39.027,39.001,39.008,NA,NA,NA,NA,38.995,NA,39.001
P86,C28_ane_NA,39.243,39.269,39.249,39.243,39.243,39.243,39.237,39.237,39.23,39.243,39.237
P87,,39.578,NA,39.587,NA,NA,NA,NA,NA,39.568,NA,39.58
P88,,39.675,39.708,39.676,39.676,39.669,39.669,39.676,39.669,39.663,39.676,39.669
P89,C29_diene_NA,39.892,NA,39.898,39.892,39.892,NA,39.892,39.892,39.879,39.905,39.886
P90,C29_diene_NA,39.981,39.994,39.987,39.981,39.981,39.981,39.975,39.975,39.968,39.988,39.981
P91,C29_diene_NA,40.091,40.115,40.096,40.089,40.083,40.096,40.083,40.089,40.083,40.089,40.089
P92,C29_ene_NA,40.259,NA,40.261,40.261,40.261,40.255,40.248,40.248,40.261,40.268,40.267
P93,C29_ene_NA,40.316,40.331,40.318,40.318,40.312,40.312,40.306,40.306,40.318,40.312,40.331
P94,C29_ane_NA,40.627,40.636,40.617,40.636,40.617,40.611,40.624,40.605,40.649,40.63,40.649
P95,C29_Me_15-;13-;11-,41.008,41.024,41.018,41.005,41.005,41.005,41.005,41.005,41.005,41.006,41.005
P96,,41.388,41.4,41.4,41.387,41.393,41.387,41.381,41.387,41.374,41.387,41.387
P97,C30_ene_NA,41.599,41.61,41.61,41.597,41.61,41.597,41.591,41.597,41.578,41.604,41.591
P98,C30_ene_NA,41.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.642
P99,C30_ane_NA,41.914,41.934,41.921,41.909,41.921,41.909,41.909,41.909,41.896,41.922,41.909
P100,,42.106,NA,42.106,NA,NA,NA,NA,NA,NA,NA,NA
P101,,42.305,NA,42.329,42.316,NA,NA,NA,42.303,42.284,42.303,42.297
P102,C31_diene_NA,42.544,42.558,42.545,42.545,42.545,42.545,42.539,42.539,42.539,42.545,42.545
