"Peak","RI","Compound","Chain.length","Class","Mod.position","351","352","350","349","354","346","343","342","335","344","339","345","332","341","334","328","337","338","333","331"
"P1",1879,"C19:ene",19,"Alkene","NA",363723.671520071,NA,104649.223708941,100048.23080689,553237.996075767,333135.567174041,239670.295769298,299013.711533337,675009.627430595,45380.950740882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P2",1882,"C19:ene",19,"Alkene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164803.840272376,229737.472080606,69148.7467269661,34296.6340018687,90196.1737599698,NA,NA,62447.7148949021,40751.5411268435,217658.832490423
"P3",2074,"C21:ene",21,"Alkene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58595.3075367344,43957.8895503128,39096.0803951597,47991.351576736,52960.523076146,NA,NA,NA,NA,75409.8525693279
"P4",2080,"C21:ene",21,"Alkene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49709.0051996415,NA,NA,20251.207197424,14423.220876995,NA
"P5",2100,"C21",21,"Alkane","NA",224468.53311403,346681.405121433,335757.021181914,227937.676110963,157971.503457315,95766.3156050666,166286.149600892,108702.879344215,211254.344168718,97672.7827947331,557594.369687979,413556.069973736,228194.237685142,393257.94154083,571942.963130198,NA,112401.152732742,129476.635631944,162988.603640129,527670.905257976
"P6",2200,"C22",22,"Alkane","NA",342893.768293956,143090.130224131,206686.561049805,371019.729603444,559370.927932061,352476.976578054,406251.388949785,413084.30881817,860873.037350591,217265.94006561,581509.555041301,387970.0061335,312555.078672494,307243.340884256,413246.770953449,304228.089285322,240850.488708145,344624.878149641,164931.670615984,505585.192894123
"P7",2270,"C23:ene",23,"Alkene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5009481.3994731,2305227.65011193,1290782.59359655,2746334.91809437,4810672.25825683,NA,891200.542907221,1656627.12908983,1288948.74813674,1421182.28593259
"P8",2271,"C23:ene",23,"Alkene","NA",1471878.28712477,970881.247546049,1101584.15704493,2308157.1607677,NA,1105290.46444006,846943.908308746,920632.001233416,1350880.74702995,225967.281106142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P9",2277,"C23:ene",23,"Alkene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2114542.9163802,808639.541762538,533065.122531142,1401384.89193362,3228586.4414971,NA,381669.475471384,769655.591349366,448273.780038163,595162.280955629
"P10",2278,"C23:ene",23,"Alkene","NA",NA,145130.545041528,408736.298378147,1307927.79696866,398581.498021825,NA,337944.313177773,347724.335414964,520283.911403799,72096.991781447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P11",2300,"C23",23,"Alkane","NA",5407163.59846299,5717571.32602613,5060680.82218409,8523842.79901181,4127002.62531682,1887689.03426044,3417897.84883133,2136548.58212383,3110152.17391598,2113309.1295828,26175095.4653964,15953358.5770107,6610678.52276182,14829275.3866338,15585855.7933386,945651.106096463,2290664.5050707,6675050.81210216,2847118.449779,3850354.54652321
"P12",2400,"C24",24,"Alkane","NA",675320.713136463,659310.088600569,551085.149522456,796970.374567548,446569.801838819,209141.02514686,211193.155007267,162998.766159442,195533.295140454,132263.974033356,875025.603098472,764543.094939285,338216.363512658,506128.087285743,435820.202949697,71403.5467132586,151446.660530445,282862.981896175,163530.38723305,171172.532326485
"P13",2466,"C25:diene",25,"Alkadiene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213746.749625309,NA,NA,186708.981908446,140833.496596448,NA,NA,NA,NA,NA
"P14",2467,"C25:diene",25,"Alkadiene","NA",134867.001112701,123947.384090083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P15",2471,"C25:ene",25,"Alkene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4251522.36285776,3436219.97965018,1440232.11064884,3511741.2684948,2894644.07944755,175947.78316987,612674.014150429,1363016.17168915,1266371.98100497,956939.225742729
"P16",2472,"C25:ene",25,"Alkene","NA",1264266.10351043,1217743.77170803,1339852.00641481,2827539.72881718,835344.205032584,671639.528502095,597701.835910803,548274.456379904,800255.90725008,525802.941100075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P17",2479,"C25:ene",25,"Alkene","NA",464935.104917704,493829.987490405,485520.633326077,824937.62304782,378677.611910007,185330.13437744,257712.884003626,275990.053006278,385647.250862019,261415.491337113,2517358.56796001,1443200.8577589,620867.41297104,1562864.43606887,2030900.41932514,89195.7375888621,257501.096236168,803739.319911276,500975.344074661,474487.059332723
"P18",2500,"C25",25,"Alkane","NA",19970531.2806602,19159524.0571727,15746021.1043567,29087606.6473426,15928694.0489083,6512490.29366164,6688814.29788627,5639885.98692792,6273774.12218213,4334654.49000125,31971516.2234297,27556805.9919897,11200778.6657132,24550159.9896291,15834516.6787295,3406317.91576766,5469572.27091274,10148527.5685381,6239233.1864812,5024480.68385547
"P19",2534,"13-;11-MeC25",25,"Methyl","13-;11-",639334.440293294,614529.280778139,561681.983422941,533761.12635592,590021.289590603,335593.521801367,386908.003319602,301130.372315622,351455.526192925,266332.200756645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P20",2535,"13-;11-MeC25",25,"Methyl","13-;11-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438322.046565391,470315.379241502,306454.57216522,374729.174173225,309538.744252069,154406.916231803,108363.59294412,120936.205389055,162387.013325066,179768.442718615
