Peak,Compound,mean_RT,335,342,343,344,346,349,350,351,352,354
P60,C25_diene_NA,34.37,NA,NA,NA,NA,NA,NA,NA,34.37,34.37,NA
P61,C25_ene_NA,34.4449,34.44,34.446,34.453,34.452,34.446,34.44,34.44,34.44,34.446,34.446
P62,C25_ene_NA,34.5683,34.567,34.573,34.573,34.58,34.573,34.561,34.561,34.561,34.567,34.567
P63,C25_ane_NA,34.8966,34.872,34.879,34.879,34.879,34.879,34.93,34.904,34.917,34.917,34.91
P64,C25_Me_13-;11-,35.3998,35.407,35.407,35.407,35.407,35.4,35.394,35.394,35.394,35.394,35.394
P65,,35.6444444444444,35.636,35.655,35.655,NA,35.649,35.636,35.649,35.642,35.636,35.642
P66,,35.8301666666667,NA,NA,NA,NA,35.846,35.827,35.827,35.827,35.827,35.827
P67,,35.9882,35.979,36.005,35.999,36.017,35.986,35.979,35.98,35.979,35.979,35.979
P68,,36.1398,36.132,36.145,36.145,36.151,36.145,36.1,36.145,36.151,36.139,36.145
P69,,36.244125,36.24,36.278,36.266,NA,36.259,36.228,36.234,36.227,NA,36.221
P70,C26_ane_NA,36.3794,36.38,36.38,36.38,36.386,36.374,36.374,36.38,36.38,36.38,36.38
P71,,36.6303,36.628,36.647,36.647,36.654,36.635,36.616,36.616,36.616,36.616,36.628
P72,,36.87,36.87,36.889,36.87,36.876,36.876,36.87,36.864,36.857,36.864,36.864
P73,C27_diene_NA,37.0318571428571,37.023,NA,NA,NA,37.036,37.029,37.029,37.035,37.029,37.042
P74,C27_diene_NA,37.1281428571429,37.118,NA,NA,37.137,NA,37.125,37.131,37.124,37.125,37.137
P75,C27_diene_NA,37.245,NA,NA,NA,NA,NA,37.245,NA,NA,NA,NA
P76,C27_ene_NA,37.4515,37.449,37.449,37.455,37.449,37.449,37.462,37.449,37.449,37.449,37.455
P77,C27_ene_NA,37.5686,37.563,37.57,37.57,37.57,37.57,37.576,37.564,37.563,37.57,37.57
P78,C27_ane_NA,37.9033,37.856,37.869,37.869,37.856,37.888,37.958,37.933,37.939,37.958,37.907
P79,C27_Me_13-;11-,38.2958,38.289,38.295,38.289,38.295,38.295,38.302,38.295,38.301,38.302,38.295
P80,,38.54025,NA,NA,NA,NA,NA,38.55,38.537,38.543,38.531,NA
P81,,38.64825,NA,NA,38.645,38.664,38.645,38.651,38.652,38.639,38.645,38.645
P82,,38.73875,NA,NA,NA,NA,NA,NA,38.734,38.74,38.741,38.74
P83,C28_ene_NA,38.8838888888889,38.887,NA,38.893,38.893,38.88,38.887,38.874,38.88,38.874,38.887
P84,C28_ene_NA,38.9989,39.008,39.008,39.008,38.995,39.001,39.001,38.995,38.989,38.989,38.995
P85,C28_ane_NA,39.2375,39.237,39.243,39.237,39.243,39.237,39.237,39.23,39.237,39.237,39.237
P86,,39.5701428571429,39.561,NA,39.58,NA,NA,39.58,39.568,39.567,39.568,39.567
P87,C28_Me_14-;13-,39.6711,39.676,39.676,39.669,39.682,39.669,39.669,39.669,39.663,39.669,39.669
P88,C29_diene_NA,39.8919,39.892,39.892,39.898,39.898,39.898,39.892,39.879,39.886,39.892,39.892
P89,C29_diene_NA,39.978,39.981,39.981,39.975,39.987,39.975,39.981,39.975,39.975,39.975,39.975
P90,C29_diene_NA,40.0872,40.083,40.089,40.089,40.089,40.089,40.089,40.083,40.083,40.089,40.089
P91,C29_ene_NA,40.262875,40.255,40.255,40.255,40.255,40.267,40.274,40.268,NA,NA,40.274
P92,C29_ene_NA,40.3322,40.312,40.318,40.325,40.318,40.325,40.337,40.344,40.356,40.35,40.337
P93,C29_ane_NA,40.6664,40.611,40.624,40.643,40.624,40.668,40.675,40.694,40.732,40.719,40.674
